SDG Keywords,Alternatives,SDG
Water Ecosystems,,SDG6
Water Harvesting,,SDG6
Water Resources Management,,SDG6
Water-Related Ecosystems,,SDG6
Water-Use Efficiency,,SDG6
Clean Energy,,SDG7
Energy Efficiency,,SDG7
Renewable*,,SDG7
Solar Energy,,SDG7
Solar Power,,SDG7
Sustainable Energy,,SDG7
Wind Turbine,Wind Turbines,SDG7
Affordable Energy,,SDG7
Alternative Energy,,SDG7
Clean Energy Technology,,SDG7
Clean Fuel,,SDG7
Clean Fuel,Clean Fuels,SDG7
Clean Fuel Technology,,SDG7
Clean Fuels,,SDG7
Cleaner Fossil Fuel Technology,,SDG7
Energy Infrastructure,,SDG7
Energy Research,,SDG7
Energy Technology,,SDG7
Hydroelectric,,SDG7
Modern Electricity,,SDG7
Modern Energy,,SDG7
Reliable Energy,,SDG7
Renewable Energy,,SDG7
Renewable Power,,SDG7
Sustainable Energy Services,,SDG7
Wind Power,,SDG7
Circular Economy,,SDG8
Circular Economy,,SDG8
Economic Development,,SDG8
Economic Growth,,SDG8
Economic Growth Rates,,SDG8
Gross Domestic Product Growth,GDP Growth,SDG8
Job Creation,,SDG8
Labour Market,Labor Market; Labour Markets; Labor Markets,SDG8
Microfinanc*? ,Micro-Financ*? ,SDG8
Sustainable Economic Growth,,SDG8
Sustainable Growth,,SDG8
Aid for Trade,,SDG8
Child Labour,Child Labor,SDG8
Child Soldiers,,SDG8
Climate Action,,SDG8
Community-Based Tourism,CBT,SDG8
Community-Based Tourism,,SDG8
Decent Work,,SDG8
Economic Development Policy,,SDG8
Economic Globalisation,Economic Globalization,SDG8
Economic Productivity,,SDG8
Employment Policy,,SDG8
Entrepreneurship,,SDG8
Equal Income,,SDG8
Forced Labour,Forced Labor,SDG8
Full Employment,,SDG8
Global Trade,,SDG8
Human Trafficking,,SDG8
Inclusive Economic Growth,,SDG8
Informal Employment,,SDG8
Labour Market,,SDG8
Labour rights,,SDG8
Medium Enterprise,Medium Enterprises,SDG8
Micro Finance,,SDG8
Microcredit*,Micro-Credit*? ,SDG8
Migrant Workers,,SDG8
Modern Slavery,,SDG8
Productive Employment,,SDG8
Quality Jobs,,SDG8
Resource Efficiency,,SDG8
Safe Work,,SDG8
Secure Work,,SDG8
Small Enterprises,,SDG8
Small Entrepreneur,Small Entrepreneurs,SDG8
Stable Employment,,SDG8
Stable Jobs,,SDG8
Sustainable Tourism,,SDG8
Unemployment,,SDG8
Work Opportunities,,SDG8
World Trade,,SDG8
Youth Employment,,SDG8
Youth Unemployment,,SDG8
Access to the Internet,,SDG9
Clean Technologies,,SDG9
Environmentally Sound Technologies,,SDG9
ICT Infrastructure,,SDG9
Industrial Diversification,,SDG9
Infrastructure Development,,SDG9
Regional Infrastructure,,SDG9
Resilient Infrastructure,,SDG9
Sustainable Industrialisation,,SDG9
Sustainable Infrastructure,,SDG9
Transborder Infrastructure,,SDG9
Ageism,,SDG10
Financial Assistance,,SDG10
Homophobia,,SDG10
Sexism,,SDG10
Social Protection,,SDG10
Development Assistance,,SDG10
Equal Opportunity,,SDG10
Foreign Investment,,SDG10
Migrant Remittance,,SDG10
Reduce Inequalities,,SDG10
Air Pollution,,SDG11
Air Quality,,SDG11
Cultural Heritage,,SDG11
Disaster Risk Reduction,DRR,SDG11
Fine Particulate Matter,,SDG11
Public Transport,,SDG11
Sustainable City,Sustainable Cities,SDG11
Urban Development,,SDG11
Urban Planning,,SDG11
Urban Sustainability,,SDG11
Waste Management,,SDG11
Affordable Housing,,SDG11
Development Planning,,SDG11
Disaster Management,,SDG11
Disaster Strategy,,SDG11
Green Spaces,,SDG11
Human Settlements,,SDG11
Inadequate Housing,,SDG11
Informal Settlements,,SDG11
Natural Heritage,,SDG11
Public Spaces,,SDG11
Resilient Buildings,,SDG11
Resource Efficiency,,SDG11
Slums,,SDG11
Sustainable Building,Sustainable Buildings,SDG11
Sustainable Urbanisation,,SDG11
Town Planning,,SDG11
Transport Systems,,SDG11
Circular Economy,,SDG12
Food Waste,,SDG12
Sustainable Consumption,,SDG12
Sustainable Production,,SDG12
Sustainable Supply Chain,,SDG12
Sustainable Tourism,,SDG12
Deep Decarbonisation,Deep Decarbonization,SDG12
Efficient Use of Resources,,SDG12
Energy Efficiency,,SDG12
Food Loss,Food Losses,SDG12
Fossil Fuel Subsidies,,SDG12
Global Food Waste,,SDG12
Harvest Losses,,SDG12
Market Distortions,,SDG12
Monitoring Sustainable Development,,SDG12
Overconsumption,,SDG12
Reduce Waste Generation,,SDG12
Resource Efficiency,,SDG12
Responsible Production Chains,,SDG12
Sustainable Management,,SDG12
Sustainable Practices,,SDG12
Sustainable Public Procurement,,SDG12
Sustainable Resource Use,,SDG12
Wasteful Consumption,,SDG12
Water Pollution,,SDG12
Climate Change Policy,Climate Change Policies,SDG13
Climate Mitigation,,SDG13
Extreme Weather,,SDG13
Global Warming,,SDG13
Greenhouse Gas,Greenhouse Gases; GHG,SDG13
Sea Level Rise,Rising Sea; Rising Sea Level,SDG13
The Paris Agreement,,SDG13
Average Global Temperature,,SDG13
Climate Action,,SDG13
Climate Adaptation,,SDG13
Climate and Politics,,SDG13
Climate Change,,SDG13
Climate Change Management,,SDG13
Climate Change Planning,,SDG13
Climate Early Warning,,SDG13
Climate Hazards,,SDG13
Climate Impact,,SDG13
Climate Related Hazards,,SDG13
CO2 Capture,,SDG13
COP 21,,SDG13
COP 22,,SDG13
Extreme Weather Events,,SDG13
Global Temperature,Global Mean Temperature,SDG13
Greenhouse Gas Emissions,,SDG13
Ice Loss,,SDG13
Ocean Warming,,SDG13
*Forest*,,SDG14
Coral Reef,Coral Reefs,SDG14
Fish Species,,SDG14
Fish Stocks,,SDG14
Marine,,SDG14
Ocean Acidification,,SDG14
Artisanal Fishers,,SDG14
Coastal Biodiversity,,SDG14
Coastal Ecosystems,,SDG14
Coastal Habitats,,SDG14
Coral Bleaching,,SDG14
Coral Reef,,SDG14
Fish Stocks and Fisheries Management,,SDG14
Fisheries,,SDG14
Fisheries Rights,,SDG14
Fishing Practices,,SDG14
Illegal Fishing,,SDG14
Kelp,,SDG14
Law of the Sea,,SDG14
Marine Areas,,SDG14
Marine Biodiversity,,SDG14
Marine Ecosystems,,SDG14
Marine Fisheries,,SDG14
Marine Parks,,SDG14
Marine Pollution,,SDG14
Marine Resources,,SDG14
Overfishing,,SDG14
Productive Oceans,,SDG14
Sea Grasses,,SDG14
Unregulated Fishing,,SDG14
Biodivers*,,SDG15
Biodiversity Loss,,SDG15
Deforest*,,SDG15
Deforest*,Deforestation,SDG15
Desertif*,,SDG15
Desertif*,Desertification,SDG15
Dryland*,,SDG15
Ecosystem*,Eco-System*,SDG15
Forest Management,,SDG15
Land Degradation,,SDG15
Mountain*,,SDG15
Soil Degradation,,SDG15
Threatened Species,,SDG15
Wetland*,,SDG15
Wetlands,,SDG15
Afforestation,,SDG15
Drought,,SDG15
Ecosystem Restoration,,SDG15
Extinct Species,,SDG15
Genetic Resources,,SDG15
Illegal Wildlife Products,,SDG15
Invasive Alien Species,,SDG15
Land Conservation,,SDG15
Land Loss,,SDG15
Poach*,,SDG15
Protected Fauna,,SDG15
Protected Flora,,SDG15
Protected Species,,SDG15
Reforestation,,SDG15
Strategic Plan for Biodiversity 2011?V2020,,SDG15
Terrestrial Ecosystems,,SDG15
Human Trafficking,,SDG16
Organized Crime,,SDG16
Physical Abuse,,SDG16
Sexual Abuse,,SDG16
Sexual Violence,,SDG16
Accountable Institution,Accountable Institutions,SDG16
Accountable Institutions,,SDG16
Arms Trafficking,,SDG16
Birth Registration,,SDG16
Bribery,,SDG16
Combat Terrorism,,SDG16
Illegal Arms,,SDG16
Illicit Financial Flows,,SDG16
Inclusive Institution,Inclusive Institutions,SDG16
Inclusive Institutions,,SDG16
Inclusive Societies,,SDG16
Inclusive Society,Inclusive Societies,SDG16
Justice For All,,SDG16
Paris Principles,,SDG16
Peaceful Societies,,SDG16
Prevent Violence,,SDG16
Psychological Abuse,,SDG16
Rule of Law,,SDG16
